                     Package                Version      
knitr                "knitr"                "1.26"       
labeling             "labeling"             "0.3"        
later                "later"                "0.7.5"      
lazyeval             "lazyeval"             "0.2.2"      
littler              "littler"              "0.3.9"      
magrittr             "magrittr"             "1.5"        
manipulateWidget     "manipulateWidget"     "0.9.0"      
markdown             "markdown"             "1.1"        
memoise              "memoise"              "1.1.0"      
mime                 "mime"                 "0.7"        
miniUI               "miniUI"               "0.1.1.1"    
munsell              "munsell"              "0.5.0"      
openssl              "openssl"              "1.4.1"      
openxlsx             "openxlsx"             "4.1.3"      
pillar               "pillar"               "1.3.1"      
pkgbuild             "pkgbuild"             "1.0.6"      
pkgconfig            "pkgconfig"            "2.0.3"      
pkgKitten            "pkgKitten"            "0.1.5"      
pkgload              "pkgload"              "1.0.2"      
plyr                 "plyr"                 "1.8.4"      
prettyunits          "prettyunits"          "1.0.2"      
processx             "processx"             "3.4.1"      
promises             "promises"             "1.1.0"      
ps                   "ps"                   "1.3.0"      
R6                   "R6"                   "2.4.1"      
rcmdcheck            "rcmdcheck"            "1.3.3"      
RColorBrewer         "RColorBrewer"         "1.1-2"      
Rcpp                 "Rcpp"                 "1.0.3"      
remotes              "remotes"              "2.1.0"      
reshape2             "reshape2"             "1.4.3"      
rgl                  "rgl"                  "0.99.16"    
rJava                "rJava"                "0.9-11"     
rlang                "rlang"                "0.4.1"      
rprojroot            "rprojroot"            "1.3-2"      
rstudioapi           "rstudioapi"           "0.10"       
scales               "scales"               "1.0.0"      
sessioninfo          "sessioninfo"          "1.1.1"      
shiny                "shiny"                "1.2.0"      
sourcetools          "sourcetools"          "0.1.7"      
stringi              "stringi"              "1.4.3"      
stringr              "stringr"              "1.4.0"      
sys                  "sys"                  "3.3"        
systemfonts          "systemfonts"          "0.1.1"      
tibble               "tibble"               "2.0.1"      
usethis              "usethis"              "1.4.0"      
utf8                 "utf8"                 "1.1.4"      
viridisLite          "viridisLite"          "0.3.0"      
whisker              "whisker"              "0.4"        
withr                "withr"                "2.1.2"      
xfun                 "xfun"                 "0.11"       
xml2                 "xml2"                 "1.2.2"      
xopen                "xopen"                "1.0.0"      
xtable               "xtable"               "1.8-4"      
yaml                 "yaml"                 "2.2.0"      
zip                  "zip"                  "2.0.4"      
base                 "base"                 "3.6.1"      
boot                 "boot"                 "1.3-23"     
class                "class"                "7.3-15"     
cluster              "cluster"              "2.1.0"      
codetools            "codetools"            "0.2-16"     
compiler             "compiler"             "3.6.1"      
datasets             "datasets"             "3.6.1"      
foreign              "foreign"              "0.8-72"     
graphics             "graphics"             "3.6.1"      
grDevices            "grDevices"            "3.6.1"      
grid                 "grid"                 "3.6.1"      
KernSmooth           "KernSmooth"           "2.23-16"    
lattice              "lattice"              "0.20-38"    
MASS                 "MASS"                 "7.3-51.4"   
Matrix               "Matrix"               "1.2-17"     
methods              "methods"              "3.6.1"      
